epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.559,1.11338,3.42703,1.22285,0,0,0,0,0,12.3627,0,0.0002222,0.0002222,0.0002222
2,262.387,1.02642,2.04045,1.10007,0,0,0,0,0,11.7433,0,0.000446491,0.000446491,0.000446491
3,391.11,1.00632,1.75768,1.0981,0,0,0,0,0,15.7785,0,0.000661543,0.000661543,0.000661543
4,517.043,0.99392,1.67765,1.12283,0,0,0,0,0,12.4659,0,0.000867355,0.000867355,0.000867355
5,642.954,0.94957,1.53968,1.08523,0,0,0,0,0,13.4172,0,0.00102301,0.00102301,0.00102301
6,772.902,0.97578,1.54873,1.11724,0,0,0,0,0,28.31,0,0.00100101,0.00100101,0.00100101
7,899.016,0.96237,1.40107,1.09694,0,0,0,0,0,31.4157,0,0.000979013,0.000979013,0.000979013
8,1028.18,0.91952,1.28135,1.07803,0,0,0,0,0,17.8905,0,0.000957015,0.000957015,0.000957015
9,1154.68,0.92409,1.25094,1.08469,0,0,0,0,0,17.3233,0,0.000935018,0.000935018,0.000935018
