epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.44,1.11338,3.42703,1.22285,0,0,0,0,0,12.3627,0,0.0002222,0.0002222,0.0002222
2,273.047,1.02642,2.04045,1.10007,0,0,0,0,0,11.7433,0,0.000446491,0.000446491,0.000446491
3,401.778,1.00632,1.75768,1.0981,0,0,0,0,0,15.7785,0,0.000661543,0.000661543,0.000661543
4,532.215,0.99392,1.67765,1.12283,0,0,0,0,0,12.4659,0,0.000867355,0.000867355,0.000867355
5,661.743,0.94957,1.53968,1.08523,0,0,0,0,0,13.4172,0,0.00102301,0.00102301,0.00102301
